date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id
20171231.0,460341.0,200.0,DEWITT BANK AND TRUST COMPANY,DEWITT B&TC,1.0,8.0,DEWITT,UNITED STATES,AR,FDIC,0,1139176.0
20171231.0,460350.0,200.0,"FIRST SECURITY BANK, THE",FIRST SECURITY BK,1.0,10.0,OVERBROOK,UNITED STATES,KS,FDIC,0,1063776.0
20171231.0,460556.0,200.0,"STATE NATIONAL BANK OF GROOM, THE",STATE NB,1.0,11.0,GROOM,UNITED STATES,TX,OCC,0,1103234.0
20171231.0,460770.0,200.0,HOME SAVINGS BANK,HOME SVG BK,1.0,12.0,SALT LAKE CITY,UNITED STATES,UT,FDIC,5493003VT065KPIN8879,1480560.0
20171231.0,461058.0,200.0,FARMERS STATE BANK,FARMERS ST BK,1.0,11.0,GROESBECK,UNITED STATES,TX,FDIC,0,1144228.0
20171231.0,462774.0,300.0,BEN FRANKLIN BANK OF ILLINOIS,BEN FRANKLIN BK IL,1.0,7.0,ARLINGTON HEIGHTS,UNITED STATES,IL,OCC,0,4754301.0
20171231.0,463203.0,200.0,BRUNSWICK BANK AND TRUST COMPANY,BRUNSWICK B&TC,1.0,2.0,NEW BRUNSWICK,UNITED STATES,NJ,FDIC,0,1136344.0
20171231.0,463342.0,200.0,WISCONSIN BANK AND TRUST,WISCONSIN B&TC,1.0,7.0,MADISON,UNITED STATES,WI,FDIC,5493007RSKYSDHRL7N78,1206546.0
20171231.0,463605.0,200.0,PEOPLES TRUST COMPANY OF ST. ALBANS,PEOPLES TC OF ST ALBANS,1.0,1.0,SAINT ALBANS,UNITED STATES,VT,FDIC,0,463605.0
20171231.0,463650.0,200.0,ADAMS BANK & TRUST,ADAMS B&TC,1.0,10.0,OGALLALA,UNITED STATES,NE,FRS,54930040GLSEV5H11Q12,5006472.0
20171231.0,463735.0,200.0,WHITNEY BANK,WHITNEY BK,1.0,6.0,GULFPORT,UNITED STATES,MS,FDIC,NSGZD26XPW2CUM2JKU70,1086533.0
20171231.0,463977.0,310.0,KENNEBEC FEDERAL SAVINGS & LOAN ASSOCIATION,KENNEBEC FS&LA,6.0,1.0,WATERVILLE,UNITED STATES,ME,OCC,0,463977.0
20171231.0,464255.0,200.0,DAKOTA PRAIRIE BANK,DAKOTA PRAIRIE BK,1.0,9.0,FORT PIERRE,UNITED STATES,SD,FDIC,0,1246355.0
20171231.0,464853.0,200.0,BANK OF CORDELL,BANK OF CORDELL,1.0,10.0,CORDELL,UNITED STATES,OK,FDIC,0,1063833.0
20171231.0,465038.0,200.0,FIRST NATIONAL BANK OF BROOKFIELD,FIRST NB OF BROOKFIELD,1.0,7.0,BROOKFIELD,UNITED STATES,IL,OCC,0,465038.0
20171231.0,465243.0,200.0,"GARRETT STATE BANK, THE",GARRETT ST BK,1.0,7.0,GARRETT,UNITED STATES,IN,FRS,549300I3BPURP4WOHN47,1210011.0
20171231.0,465337.0,200.0,"FIRST NATIONAL BANK OF BRUNDIDGE, THE",FIRST NB OF BRUNDIDGE,1.0,6.0,BRUNDIDGE,UNITED STATES,AL,OCC,0,1245684.0
20171231.0,465524.0,200.0,BANK OF GREELEYVILLE,BANK OF GREELEYVILLE,1.0,5.0,GREELEYVILLE,UNITED STATES,SC,FDIC,0,1250679.0
20171231.0,465618.0,200.0,"HONESDALE NATIONAL BANK, THE",HONESDALE NB,1.0,3.0,HONESDALE,UNITED STATES,PA,OCC,0,1144107.0
20171231.0,465672.0,300.0,TOMAHAWK COMMUNITY BANK S.S.B.,TOMAHAWK CMNTY BK SSB,6.0,9.0,TOMAHAWK,UNITED STATES,WI,FDIC,0,3823965.0
20171231.0,466044.0,200.0,RELIANCE STATE BANK,RELIANCE ST BK,1.0,7.0,STORY CITY,UNITED STATES,IA,FDIC,25490003YGASV5ENH153,1202258.0
20171231.0,466240.0,200.0,FIRST ARKANSAS BANK AND TRUST,FIRST ARKANSAS B&T,1.0,8.0,JACKSONVILLE,UNITED STATES,AR,FDIC,5493007BBMW58UQT5588,1096550.0
20171231.0,466754.0,200.0,"BANK OF FAYETTE COUNTY, THE",BANK OF FAYETTE CTY,1.0,8.0,PIPERTON,UNITED STATES,TN,FRS,0,1099896.0
20171231.0,466857.0,200.0,HAPPY STATE BANK,HAPPY ST BK,1.0,11.0,HAPPY,UNITED STATES,TX,FRS,549300K83T0RO62KWB61,1843062.0
20171231.0,466932.0,200.0,COMMUNITY NEIGHBOR BANK,COMMUNITY NEIGH BK,1.0,6.0,CAMDEN,UNITED STATES,AL,FDIC,0,1836475.0
20171231.0,467144.0,200.0,HUSTISFORD STATE BANK,HUSTISFORD ST BK,1.0,7.0,HUSTISFORD,UNITED STATES,WI,FDIC,0,2999854.0
